№	Дата/время	Температура	Осадки (мм)
=======================================================
 1	2026-05-07T00:00	14.3°C	0.0
 2	2026-05-07T01:00	13.5°C	0.0
 3	2026-05-07T02:00	12.8°C	0.0
 4	2026-05-07T03:00	12.0°C	0.0
 5	2026-05-07T04:00	11.3°C	0.0
 6	2026-05-07T05:00	10.9°C	0.0
 7	2026-05-07T06:00	12.5°C	0.0
 8	2026-05-07T07:00	14.2°C	0.0
 9	2026-05-07T08:00	15.9°C	0.0
10	2026-05-07T09:00	17.9°C	0.0
11	2026-05-07T10:00	20.1°C	0.0
12	2026-05-07T11:00	21.7°C	0.0
13	2026-05-07T12:00	23.0°C	0.0
14	2026-05-07T13:00	24.1°C	0.0
15	2026-05-07T14:00	24.8°C	0.0
16	2026-05-07T15:00	25.3°C	0.0
17	2026-05-07T16:00	25.3°C	0.0
18	2026-05-07T17:00	25.3°C	0.0
19	2026-05-07T18:00	24.8°C	0.0
20	2026-05-07T19:00	23.6°C	0.0
21	2026-05-07T20:00	20.8°C	0.0
22	2026-05-07T21:00	19.8°C	0.0
23	2026-05-07T22:00	19.1°C	0.0
24	2026-05-07T23:00	18.4°C	0.0
